Teams,5–4,Teams
Team Europe,,Team USA
Doubles,5–1,Doubles
Albin Ouschan,,Billy Thorpe
Jayson Shaw,,Skyler Woodward
Singles,3–5,Singles
Niels Feijen,,Tyler Styer
Doubles,1–5,Doubles
Eklent Kaci,,Shane Van Boening
Alexander Kazakis,,Corey Deuel
Singles,0–5,Singles
Jayson Shaw,,Shane Van Boening
Singles,5–2,Singles
Jayson Shaw,,Shane Van Boening
Doubles,3–5,Doubles
Niels Feijen,,Skyler Woodward
Alexander Kazakis,,Shane Van Boening
Singles,5–3,Singles
Albin Ouschan,,Corey Deuel
Doubles,2–5,Doubles
Eklent Kaci,,Billy Thorpe
Jayson Shaw,,Tyler Styer
Singles,3–5,Singles
Eklent Kaci,,Billy Thorpe
Doubles,4–5,Doubles
Niels Feijen,,Skyler Woodward
Albin Ouschan,,Tyler Styer
Singles,3–5,Singles
Alexander Kazakis,,Skyler Woodward
Doubles,5–4,Doubles
Eklent Kaci,,Tyler Styer
Niels Feijen,,Corey Deuel
Singles,4–5,Singles
Jayson Shaw,,Skyler Woodward
Doubles,5–1,Doubles
Alexander Kazakis,,Shane Van Boening
Albin Ouschan,,Billy Thorpe
Singles,4–5,Singles
Albin Ouschan,,Skyler Woodward
Singles,5–3,Singles
Jayson Shaw,,Tyler Styer
Singles,5–1,Singles
Niels Feijen,,Corey Deuel
Singles,5–2,Singles
Eklent Kaci,,Billy Thorpe
Singles,3–5,Singles
Alexander Kazakis,,Shane Van Boening
