"Teams
Team Europe",3–5,"Teams
Team USA"
"Doubles
Joshua Filler
Fedor Gorst",5–2,"Doubles
Shane Van Boening
Corey Deuel"
"Singles
Eklent Kaçi",5–4,"Singles
Chris Robinson"
"Doubles
Jayson Shaw
Albin Ouschan",5-2,"Doubles
Skyler Woodward
Billy Thorpe"
"Singles
Albin Ouschan",4–5,"Singles
Shane Van Boening"
"Singles
Jayson Shaw",5-4,"Singles
Shane Van Boening"
"Doubles
Jayson Shaw
Joshua Filler",5–4,"Doubles
Skyler Woodward
Chris Robinson"
"Singles
Fedor Gorst",5-2,"Singles
Corey Deuel"
"Doubles
Eklent Kaçi
Albin Ouschan",5–4,"Doubles
Shane Van Boening
Billy Thorpe"
"Singles
Jayson Shaw",5–3,"Singles
Billy Thorpe"
"Doubles
Albin Ouschan
Joshua Filler",5–2,"Doubles
Shane Van Boening
Skyler Woodward"
"Singles
Joshua Filler",5–0,"Singles
Skyler Woodward"
"Doubles
Albin Ouschan
Fedor Gorst",3-5,"Doubles
Billy Thorpe
Chris Robinson"
"Singles
Jayson Shaw",5-3,"Singles
Shane Van Boening"
