Johnny Archer    Georgia
Earl Strickland  North Carolina
Rodney Morris    California
Shane Van Boening    South Dakota
Corey Deuel  California
Jeremy Jones     Texas
Charlie Williams     South Korea1
Nick Varner  Kentucky
Mike Dechaine    Maine
Dennis Hatch     Michigan
Kim Davenport    Oklahoma
Justin Bergman   Illinois
James Rempe  Pennsylvania
Mark Wilson  Missouri
Lou Butera   Pennsylvania
Michael Coltrain     North Carolina
Shannon Daulton  Kentucky
Mike Gulyassy    Ohio
Robert Hunter    Michigan
Mike Massey  Tennessee
Reed Pierce  Mississippi
Shawn Putnam     Pennsylvania
Tony Robles  New York
John Schmidt     California
Dallas West  Illinois
Skyler Woodward  Kentucky
C.J. Wiley   Texas
Mike Davis   North Carolina
John DiToro  Florida
Óscar Domínguez  California
Paul Gerni   New Jersey[3]
Roger Griffis    Texas
Justin Hall  Illinois
Danny Harriman   Maryland
Allen Hopkins    New Jersey
Bobby Hunter     Michigan
Jeanette Lee     New York
Gabe Owen    Kansas
Brandon Shuff    Virginia
Vivian Villarreal    Texas
Buddy Hall   Illinois
Don Wardell 
