Year,Venue
1994,"Romford, London, England"
1995,"Basildon, Essex, England"
1996,"Dagenham, London, England"
1997,"Bethnal Green, London, England"
1998,"Bethnal Green, London, England"
1999,"Bethnal Green, London, England"
2000,"Bethnal Green, London, England"
2001,"Bethnal Green, London, England"
2002,"Bethnal Green, London, England"
2003,"Las Vegas, Nevada, USA"
2004,"Egmond aan Zee, Netherlands"
2005,"Las Vegas, Nevada, USA"
2006,"Rotterdam, Netherlands"
2007,"Las Vegas, Nevada, USA"
2008,"St. Julian's, Malta"
2009,"Las Vegas, Nevada, USA"
2010,"Bethnal Green, London, England"
2011,"Las Vegas, Nevada, USA"
2012,"Bethnal Green, London, England"
2013,"Las Vegas, Nevada, USA"
2014,"Tower Circus, Blackpool, England"
2015,"Las Vegas, Nevada, USA"
2016,"Alexandra Palace, London, England"
