Index,Player,Team,Smp,Swin,Sloss,Swl,Spct,Dmp,Dwin,Dloss,Dwl,Dpct,Twl,Trwl,Cmp,Cwin,Closs,Cwl,Cpct
0,John DiToro,America,3,2,1,1-Feb,66.67,2,1,1,1-Jan,50,0-0,0-0,5,3,2,2-Mar,60
1,Charlie Williams,America,8,6,2,2-Jun,75,13,6,7,7-Jun,46.15,0-0,0-0,21,12,9,9-Dec,57.14
2,Reed Pierce,America,4,4,0,Apr-00,100,6,1,5,5-Jan,16.67,0-0,0-0,10,5,5,5-May,50
3,Corey Deuel,America,15,7,8,8-Jul,46.67,27,14,13,14-13,51.85,3-May,Feb-00,52,28,24,28-24,53.85
4,Mike Davis,America,2,1,1,1-Jan,50,2,1,1,1-Jan,50,Feb-00,1-Jan,8,5,3,3-May,62.5
5,Brandon Shuff,America,3,0,3,0-3,0,3,1,2,2-Jan,33.33,Jan-00,0-0,7,2,5,5-Feb,28.57
6,Justin Hall,America,1,1,0,Jan-00,100,3,2,1,1-Feb,66.67,0-1,0-0,5,3,2,2-Mar,60
7,Dennis Hatch,America,9,4,5,5-Apr,44.44,14,7,7,7-Jul,50,3-Feb,0-0,28,13,15,13-15,46.43
8,Mark Wilson,America,7,2,5,5-Feb,28.57,2,2,0,Feb-00,100,0-0,0-0,9,4,5,5-Apr,44.44
9,Vivian Villarreal,America,3,3,0,Mar-00,100,2,2,0,Feb-00,100,0-0,0-0,5,5,0,May-00,100
10,Jeanette Lee,America,2,2,0,Feb-00,100,3,3,0,Mar-00,100,0-0,0-0,5,5,0,May-00,100
11,C.J. Wiley,America,4,3,1,1-Mar,75,1,1,0,Jan-00,100,0-0,0-0,5,4,1,1-Apr,80
12,Michael Coltrain,America,4,1,3,3-Jan,25,6,3,3,3-Mar,50,0-0,0-0,10,4,6,6-Apr,40
13,Rodney Morris,America,18,10,8,8-Oct,55.56,29,12,17,17-Dec,41.38,5-Mar,Feb-00,57,27,30,27-30,47.37
14,Mike Dechaine,America,7,1,6,6-Jan,14.29,10,2,8,8-Feb,20,2-Feb,0-0,21,5,16,16-May,23.81
15,Tyler Styer,America,4,1,3,3-Jan,25,5,4,1,1-Apr,80,0-1,0-0,10,5,5,5-May,50
16,Allen Hopkins,America,3,2,1,1-Feb,66.67,1,0,1,0-1,0,0-0,0-0,4,2,2,2-Feb,50
17,Lou Butera,America,9,4,5,5-Apr,44.44,2,2,0,Feb-00,100,0-0,0-0,11,6,5,5-Jun,54.55
18,Tony Robles,America,4,1,3,3-Jan,25,5,2,3,3-Feb,40,0-0,0-0,9,3,6,6-Mar,33.33
19,Skyler Woodward,America,9,5,4,4-May,55.56,16,8,8,8-Aug,50,3-Jan,0-0,29,14,15,14-15,48.28
