Year,Venue,Victors,Score,Losers,MVP
1994,"Romford, London, England", USA,16–12, Europe,
1995,"Basildon, Essex, England", Europe,16–15, USA,
1996,"Dagenham, London, England", USA,15–13, Europe,
1997,"Bethnal Green, London, England", USA,13–8, Europe,
1998,"Bethnal Green, London, England", USA,13–9, Europe,
1999,"Bethnal Green, London, England", USA,12–7, Europe,
2000,"Bethnal Green, London, England", USA,12–9, Europe,
2001,"Bethnal Green, London, England", USA,12–1, Europe,
2002,"Bethnal Green, London, England", Europe,12–9, USA,
2003,"Las Vegas, Nevada, USA", USA,11–9, Europe,Finland Mika Immonen
2004,"Egmond aan Zee, Netherlands", USA,12–9, Europe,United States Rodney Morris
2005,"Las Vegas, Nevada, USA", USA,11–6, Europe,United States Earl Strickland
2006,"Rotterdam, Netherlands", Tied,12–12, Tied,United States Corey Deuel
2007,"Las Vegas, Nevada, USA", Europe,11–8, USA,Malta Tony Drago
2008,"St. Julian's, Malta", Europe,11–5, USA,Finland Mika Immonen
2009,"Las Vegas, Nevada, USA", USA,11–7, Europe,United States Dennis Hatch
2010,"Bethnal Green, London, England", Europe,11–8, USA,England Darren Appleton
2011,"Las Vegas, Nevada, USA", Europe,11–7, USA,Netherlands Niels Feijen
2012,"Bethnal Green, London, England", Europe,11–9, USA,England Chris Melling
2013,"Las Vegas, Nevada, USA", Europe,11–2, USA,Netherlands Niels Feijen
2014,"Tower Circus, Blackpool, England", Europe,11–5, USA,Netherlands Niels Feijen
2015,"Las Vegas, Nevada, USA", Europe,11–7, USA,Netherlands Niels Feijen
2016,"Alexandra Palace, London, England", Europe,11–3, USA,Austria Albin Ouschan
